,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Payday Loan,Credit-Builder Loan,Mortgage Loan,Debt Consolidation Loan,Student Loan,Home Equity Loan,Auto Loan,Personal Loan,Not Specified,Credit_Score,Payment_of_Min_Amount
min,-500.0,7006.52,355.2083333,0.0,0.0,1.0,0.0,-5.0,-3.0,-6.48,0.0,1.48,20.1729419,0.08333333333333333,0.0,0.0,0.688298779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
max,8655.0,24188807.0,14836.73667,1789.0,1486.0,5721.0,1485.0,67.0,4128.0,35.83,2592.0,4998.07,50.0,33.666666666666664,82204.0,10000.0,1602.040519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
mean,119.4691,172118.1150905,4327.365650575635,17.5836,24.8283,74.4557,10.0264,21.2988,28.498278088678433,10.325907745688335,24.470227760187928,1413.4242800000002,32.287267420165,18.661492795177182,1399.2386577791508,644.7791017289297,409.0333397313032,0.3296,0.3176,0.3032,0.2928,0.316,0.3,0.2832,0.3272,0.2936,2.1139,0.5981797497155859
50%,34.0,39696.98,3278.709167,6.0,5.0,14.0,3.0,18.0,14.0,9.24,5.0,1126.905,32.27072287,18.5,67.450259695,139.70999315,342.59987535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
count,10000.0,10000.0,8533.0,10000.0,10000.0,10000.0,10000.0,10000.0,9292.0,9799.0,9791.0,10000.0,10000.0,9068.0,10000.0,9576.0,9864.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,8790.0
